Temperatura Bulbo Húmedo ValueY;Presión Atmosferica ValueY;T amb ValueY;Potencia TG ValueY
6,399996281;964,6296387;7,853012085;14184,80293
6,499996185;964,722229;7,269966125;14201,08848
5,799996853;965,2777832;6,642074585;14243,53018
5,699996948;963,7963379;6,552371979;14244,51719
5,699996948;963,7963135;6,417823792;14257,84189
5,499997139;963,0555664;6,238426208;14272,64678
5,399997234;963,6111206;6,283275604;14285,47813
5,399997234;963,7963257;6,417823792;14240,07549
7,499995232;965,1852051;9,781539917;14067,34902
8,199995041;967,2222046;11,08217621;13813,19395
9,099998474;969,4444336;12,06886673;13887,21943
9,700000763;971,2036865;13,50405121;13816,64863
9,900001526;972,5;14,98408508;13767,29814
9,700000763;970,5555298;15,65682983;13771,24609
10,50000381;970,1851563;16,015625;13691,79189
10,90000534;970,4629395;17,00231552;13687,35029
9,900001526;969,3518555;17,58535767;13709,55791
9,900001526;971,1110962;18,07870483;13676,49336
9,600000381;967,8703979;17,36111069;13737,19434
9,700000763;968,7963013;17,45080948;13712,02559
9,5;966,9444702;15,88107681;13738,6748
9,399999619;967,6852051;14,53559113;13714,49307
9,199998856;969,1666626;12,56221008;13800,85645
8,699996948;968,2407349;12,92100525;13722,38926
8,399995804;966,7592407;12,20341492;13780,12939
8,399995804;966,3888672;10,63368225;13979,01162
7,299995422;964,0740845;8,974246979;14066,85547
6,899995804;963,8889038;8,256652832;14085,6084
7,399995327;964,9074097;9,06394577;14057,97236
6,799995899;963,0555664;7,942710876;14099,92041
6,099996567;963,5185425;7,000865936;14171,97178
6,399996281;963,5185547;7,987560272;14169,01074
7,999994755;965,0000366;10,63368225;13968,64824
9,099998474;966,2036987;12,11371613;13816,15518
9,900001526;967,7777832;13,86284637;13761,86973
10,40000343;971,8518311;15,88107681;13658,72676
11,60000801;972,0370239;18,88599396;13594,07783
12,2000103;969,6296143;20,09693146;13503,7666
12,90001297;970,1851563;21,30786896;13494,39014
12,90001297;969,6296387;22,87760544;13448,9875
12,50001144;970,9259033;21,98061371;13350,78018
13,00001335;967,6852295;22,96730423;13348,80625
12,80001259;966,666687;22,16001129;13333,01387
12,80001259;966,666687;20,67997742;13363,11797
12,80001259;965,8333618;19,33449173;13429,74111
13,3000145;965,5555542;17,58535767;13504,26035
12,30001068;965,2777588;17,09201431;13561,01318
12,70001221;964,6296387;16,95746613;13545,22109
12,40001106;965,0926147;16,015625;13568,90947
13,10001373;964,3518799;16,0604744;13573,35078
12,40001106;963,5185547;14,08709335;13600,0001
11,20000648;962,5926025;12,3828125;13724,36328
11,00000572;961,7592163;12,51736069;13704,12949
10,10000229;961,4814697;11,08217621;13770,75234
10,50000381;961,0185059;11,75491714;13737,68779
9,600000381;961,7592407;10,81307983;13795,42793
12,00000954;962,1296143;13,5489006;13644,41533
12,10000992;963,055542;15,07378387;13531,40283
12,60001183;963,8888916;16,68836975;13487,48086
13,20001411;968,8888916;18,97569275;13519,55879
12,30001068;969,6296387;20,23147964;13494,39004
12,40001106;968,3333252;21,26301956;13488,96162
12,70001221;967,9629517;22,47395706;13432,70186
12,50001144;969,4444336;23,2364006;13372,9877
14,10001755;966,666687;22,56365585;13242,20928
14,00001717;966,666687;22,24971008;13295,01416
13,70001602;965,0000366;21,80121613;13246,65078
12,80001259;965,4629761;20,63512802;13373,48135
12,60001183;966,8518677;20,27633286;13405,06543
12,80001259;966,8518555;18,03385544;13521,03906
11,70000839;966,4814941;15,56713104;13616,28574
11,70000839;965,7407715;14,8495369;13733,24639
10,90000534;965,1851807;13,23495483;13662,18135
10,50000381;964,9074219;12,56221008;13727,32432
10,00000191;964,722229;11,75491714;13753,97354
9,900001526;963,5185303;11,53067017;13793,94736
9,600000381;964,1666992;11,171875;13852,67412
9,399999619;962,6852051;10,72338104;13854,15469
8,999998093;963,888916;10,23003387;13890,67402
9,099998474;964,6296387;10,40943146;13892,15469
11,20000648;966,6666748;14,40104294;13734,2332
12,80001259;968,4259521;17,89930725;13570,38984
13,10001373;968,8888916;18,16840363;13440,59785
13,8000164;971,7592529;19,6932869;13394,70195
14,10001755;972,6851196;21,12847137;13356,20859
14,40001869;969,9073486;22,24971008;13314,26094
14,20001793;969,9999512;23,19155121;13243,196
14,70001984;971,2963257;23,99884415;13218,02744
14,20001793;969,444458;23,81944275;13257,50791
14,00001717;968,5185547;23,14670181;13243,19629
14,70001984;967,9629639;24,22309113;13165,71602
14,30001831;967,8703857;23,50549698;13256,02744
15,20002174;967,5926514;22,38425827;13236,78066
14,80002022;966,7592773;20,45573044;13400,13037
14,40001869;967,5000488;19,78298569;13444,05244
13,90001678;967,5926514;18,70659637;13525,48076
13,3000145;966,2036743;16,91261673;13574,83105
12,80001259;966,666687;15,52228165;13614,80518
12,90001297;966,2036743;15,43258286;13649,84404
12,70001221;963,888916;15,61198044;13619,24668
12,60001183;963,888916;14,8046875;13685,86982
12,70001221;963,888916;14,67013931;13698,20742
12,50001144;963,888916;14,49074173;13705,1165
12,60001183;963,888916;14,53559113;13680,44131
12,90001297;965,277771;15,79137802;13644,41514
14,10001755;967,0370483;17,80960464;13512,6499
14,50001907;967,5926514;19,6484375;13310,31289
14,30001831;969,9073486;21,21817017;13333,50752
15,00002098;971,2963257;22,47395706;13269,84551
15,50002289;968,9814453;23,41579819;13219,01436
15,40002251;970,1851563;23,64004517;13126,23525
16,20002556;963,888916;21,48727036;13232,83271
15,40002251;962,3147949;17,94415665;13283,17002
14,70001984;962,8704102;17,2265625;13379,89717
15,70002365;963,888916;18,79629517;13296,49463
14,70001984;963,9815063;19,02054214;13391,74111
14,40001869;964,166687;18,66174698;13459,84463
14,20001793;963,888916;17,2714119;13491,92266
13,3000145;963,888916;15,11863327;13620,72725
13,00001335;963,888916;15,20833206;13650,83086
13,00001335;963,888916;15,25318146;13644,90898
12,10000992;963,888916;13,50405121;13732,25908
12,00000954;962,9630127;13,45920181;13722,88271
11,50000763;962,1295898;12,83130646;13749,53203
11,1000061;961,5740967;12,15856552;13721,89561
10,70000458;961,5740967;11,75491714;13801,84346
10,30000305;961,5740967;11,79977036;13769,27217
10,50000381;962,3147949;11,84461975;13824,05127
12,2000103;963,888916;15,02893448;13660,70107
13,3000145;965,6481567;16,37442017;13546,2084
13,90001678;966,666687;19,6932869;13440,10449
14,10001755;969,9073486;19,82783508;13359,66318
14,60001945;971,0185181;20,50057983;13344,36465
15,20002174;969,7221924;22,16001129;13239,24814
16,0000248;969,9999512;23,01215363;13148,93672
15,30002213;968,9814453;24,17824173;13109,94971
15,40002251;969,0740479;24,40248871;13030,00215
15,80002403;968,7037109;24,89583206;13119,81992
15,50002289;966,666687;24,58188629;13068,98906
15,20002174;966,666687;24,13339233;13082,80723
14,80002022;966,3888794;22,60850525;13223,94941
15,30002213;966,2036743;20,63512802;13252,0793
15,30002213;965,6481812;19,87268448;13259,48184
15,00002098;966,2036743;18,88599396;13344,85801
14,50001907;966,2036743;17,67505646;13439,61104
13,60001564;965,277771;16,015625;13517,0915
13,40001488;963,888916;15,20833206;13586,18184
12,90001297;963,0555908;14,62528992;13622,20742
12,30001068;962,9630127;13,90769577;13681,92178
11,90000916;962,0369873;13,59375;13745,58369
11,60000801;961,9444092;13,14525604;13768,77852
11,50000763;962,0369873;13,01070786;13722,88262
13,40001488;963,9815063;16,46411896;13610,36328
13,40001488;965,277771;17,2714119;13495,8708
13,8000164;966,2962769;17,98900604;13436,15645
14,40001869;970,0925537;19,15509415;13323,14404
15,10002136;969,9073486;20,09693146;13236,78057
16,20002556;967,6852295;21,30786896;13163,74209
16,10002518;966,5740845;21,80121613;13124,26172
16,90002823;966,666687;24,31278992;12896,75596
17,30002975;966,2036743;24,80613327;12983,11934
16,40002632;965,7407837;23,41579819;13050,23604
16,5000267;965,277771;22,16001129;13105,5083
16,20002556;964,8148804;20,76967621;13172,625
16,80002785;964,2592773;19,6035881;13164,23545
16,40002632;963,888916;19,02054214;13210,13125
15,80002403;964,3518677;18,4823494;13280,20918
15,50002289;963,888916;17,80960464;13307,35186
15,10002136;963,888916;16,77806854;13357,68916
15,00002098;962,9630127;16,55381775;13367,06563
14,50001907;962,8704102;16,10532379;13424,80586
13,90001678;962,3147949;15,38772964;13465,7666
13,40001488;962,0369873;14,8046875;13526,46777
13,20001411;961,5740967;14,22164536;13567,92207
13,40001488;963,5185059;14,44589233;13571,87031
13,3000145;963,888916;13,99739456;13563,48076
13,10001373;963,888916;13,36950302;13589,14277
13,8000164;963,888916;14,62528992;13532,39004
14,00001717;964,166687;15,16348267;13530,41592
14,20001793;965,277771;16,0604744;13480,07832
14,80002022;965,277771;17,04716492;13360,65039
14,9000206;965,4629761;17,31626129;13352,26084
15,40002251;965,277771;18,07870483;13334,00117
15,70002365;965,277771;18,4823494;13257,01445
16,10002518;965,277771;18,34780121;13236,78047
15,60002327;964,0740967;17,36111069;13307,35186
15,40002251;964,166687;16,95746613;13325,61143
15,50002289;964,7222778;17,04716492;13329,06592
15,40002251;964,3518677;17,00231552;13358,18271
15,20002174;965,277771;16,46411896;13400,13066
14,30001831;965,277771;15,92592621;13482,5459
14,00001717;965,277771;15,34288025;13525,48086
13,70001602;963,888916;15,02893448;13535,84414
13,50001526;963,888916;14,89438629;13545,71445
13,3000145;963,888916;14,7598381;13546,20791
12,90001297;963,888916;14,49074173;13597,53252
12,90001297;963,888916;14,62528992;13601,97383
13,00001335;963,888916;14,89438629;13640,96084
13,20001411;964,3518677;15,56713104;13660,70098
12,90001297;965,277771;14,44589233;13623,19443
13,00001335;965,3703735;14,53559113;13637,0126
13,3000145;966,2036743;15,16348267;13578,779
14,20001793;967,5926514;16,77806854;13512,64971
14,10001755;967,5926514;18,07870483;13516,1041
14,40001869;968,5185547;18,12355423;13420,85752
14,70001984;968,7962891;19,6484375;13387,29961
15,40002251;969,9073486;21,48727036;13311,79326
15,20002174;969,0740479;21,30786896;13276,75449
15,30002213;968,1481445;21,93576431;13205,68975
15,20002174;968,055542;22,0254631;13246,65078
15,10002136;967,8703857;21,80121613;13274,28691
14,30001831;968,1481445;19,91753387;13393,71494
14,10001755;967,9629639;18,07870483;13481,55898
13,8000164;967,5926514;16,95746613;13556,57197
13,00001335;967,1296387;15,20833206;13680,93467
12,50001144;966,4814697;14,40104294;13737,68799
11,70000839;965,8333618;13,05555725;13839,84326
11,1000061;965,0000366;12,24826431;13854,64824
10,6000042;963,9815063;11,62036896;13869,45332
10,40000343;963,7963135;11,35127258;13872,41465
10,40000343;964,4444702;11,53067017;13884,75215
9,800001144;963,888916;10,63368225;13936,57021
10,40000343;964,8148804;11,26157379;13898,07676
12,2000103;967,1296387;13,90769577;13772,2332
13,20001411;969,444458;15,65682983;13620,72695
14,40001869;969,5370361;17,40596008;13477,61064
14,80002022;973,1481323;18,75144577;13406,54609
15,30002213;974,5369873;20,54542923;13332,52051
15,20002174;972,4999634;22,42910767;13289,58564
15,30002213;973,1481323;22,92245483;13224,93662
16,30002594;973,611084;24,13339233;13114,88486
16,30002594;972,5925415;24,94068146;13150,91084
16,0000248;972,222229;24,71643448;13127,71621
15,90002441;970,833313;23,28125;13144,49512
15,90002441;969,9073486;22,24971008;13161,27432
15,90002441;969,9073486;20,8145256;13257,50791
15,90002441;969,7221924;19,28964233;13384,33838
15,90002441;969,444458;17,76475525;13446,02666
15,90002441;969,444458;17,2714119;13521,03936
15,90002441;968,9814453;16,28472137;13570,38965
15,90002441;968,5185547;14,7598381;13601,48047
15,90002441;968,5185547;14,31134415;13659,71396
15,90002441;968,4259521;14,04224396;13672,05176
15,90002441;967,5000488;13,6385994;13663,66191
15,90002441;967,0370483;13,27980423;13669,09063
15,90002441;967,1296387;14,49074173;13666,62314
15,90002441;967,4074463;13,5489006;13655,27236
15,90002441;967,2222412;13,6385994;13669,58398
15,90002441;968,5185547;14,49074173;13665,63584
15,90002441;969,444458;14,67013931;13646,38916
15,90002441;969,6296143;15,83622742;13622,70117
15,90002441;969,444458;16,32957077;12800,02891
15,90002441;970,833313;17,63020706;12596,70498
15,90002441;970,555542;18,25810242;13276,75459
15,90002441;970,3703613;19,28964233;12951,53477
15,90002441;970,833313;20,67997742;13241,71563
15,90002441;969,1666504;20,14178085;12904,65215
15,90002441;968,7037109;20,8145256;12686,0293
15,90002441;968,5185547;20,41088104;12884,91162
15,90002441;968,5185547;18,75144577;12738,83447
15,90002441;968,5185547;16,86776733;12713,17217
15,90002441;968,5185547;16,19502258;12588,80889
15,90002441;968,5185547;15,61198044;12755,12012
15,90002441;967,9629639;13,90769577;13303,40381
15,90002441;966,2036743;12,29311371;12930,31396
15,90002441;965,0926147;9,198493958;13413,94873
15,90002441;964,8148804;9,781539917;14076,72539
15,90002441;963,9815063;8,480903625;13326,10498
15,90002441;964,0740967;8,436050415;13265,40381
15,90002441;963,7037109;8,570602417;12614,47148
15,90002441;964,8148804;7,987560272;14266,72461
15,90002441;967,2222412;11,93431854;12574,0041
15,90002441;969,444458;12,06886673;12780,28896
15,90002441;970,555542;15,56713104;12564,62725
15,90002441;974,0740967;17,04716492;13081,32646
15,90002441;975,4630127;18,30295181;12758,08115
15,90002441;974,2592529;18,97569275;13548,18193
15,90002441;973,5185059;20,14178085;12623,84766
15,90002441;973,7962891;21,03877258;13757,42842
15,90002441;973,1481323;21,75636673;13730,28574
15,90002441;972,222229;21,62181854;13665,63623
15,90002441;970,833313;21,57696915;13587,16885
15,90002441;970,833313;21,12847137;12568,57529
15,90002441;970,833313;19,55873871;13035,92412
15,90002441;969,9073486;18,03385544;13843,79131
15,90002441;968,5185547;14,40104294;12539,4585
15,90002441;968,055542;13,05555725;12688,99053
15,90002441;967,1296387;12,96585464;13842,31113
15,90002441;967,1296387;13,6385994;13750,02549
15,90002441;967,1296387;13,90769577;13982,46641
15,90002441;966,2036743;11,93431854;13919,29756
15,90002441;964,8148804;9,243343353;14112,25801
15,90002441;963,888916;8,839698792;14161,11436
15,90002441;963,888916;9,198493958;14142,85469
15,90002441;964,166687;9,108795166;14127,55645
8,399995804;966,2036743;13,59375;12688,49697
8,499996185;967,6852295;13,90769577;12574,49717
10,20000267;969,7221924;17,89930725;13715,48008
11,30000687;973,1481323;19,82783508;12902,18447
13,10001373;971,2037231;24,67158508;12914,02832
13,3000145;972,4073853;24,80613327;12621,38037
13,60001564;969,9073486;25,12008286;13257,50771
13,50001526;968,7962891;24,76128387;13367,06611
13,60001564;968,5185547;24,62673569;13372,49443
13,50001526;968,6111328;23,81944275;13408,02637
12,70001221;967,5926514;21,03877258;12970,78174
12,00000954;967,9629639;19,96238327;13610,36348
11,50000763;967,5926514;19,28964233;13636,02568
11,70000839;967,5926514;19,73813629;13646,88291
10,80000496;966,2036743;17,49565887;13042,83301
10,70000458;966,2036743;17,1817131;13774,70088
10,6000042;965,277771;17,13686371;13357,68926
9,700000763;963,888916;14,67013931;13865,99912
8,899997711;963,5185059;13,14525604;13370,02686
8,79999733;963,3333252;12,47251129;13855,14189
8,79999733;963,888916;12,4276619;13687,35029
10,80000496;966,2036743;16,91261673;13644,41523
11,80000877;968,5185547;19,6932869;13653,29844
12,10000992;969,8147705;21,26301956;13513,63672
12,90001297;973,611084;23,10185242;13260,46885
13,20001411;973,611084;23,68489456;13404,07852
13,10001373;972,222229;23,68489456;12991,01553
13,40001488;971,2963257;24,35763931;13006,80752
14,40001869;969,9999512;26,68981552;13048,75518
13,70001602;971,2963257;26,19646835;13211,11846
13,90001678;968,9814453;27,81105423;13243,68965
13,50001526;967,5926514;26,82436371;13192,36514
13,50001526;967,5926514;26,33102036;12714,65264
13,3000145;967,5926514;25,7479744;13283,17012
13,50001526;966,666687;23,99884415;13029,50889
12,00000954;966,2036743;20,45573044;13595,5583
11,40000725;965,3703735;18,52719879;12601,64014
10,90000534;964,0740967;16,59866714;12565,1208
10,30000305;963,888916;14,8046875;12964,85947
10,10000229;962,9630127;14,67013931;13870,93428
9,5;961,5740967;12,87615585;13946,44014
9,299999237;961,5740967;12,60705948;13941,01182
9,399999619;961,111084;12,29311371;12948,57393
9,099998474;960,6481323;12,11371613;13572,85703
9,199998856;961,111084;12,15856552;12620,88672
11,20000648;962,9630127;16,23987198;12775,84727
12,2000103;964,4444702;18,75144577;12861,71729
12,90001297;965,6481812;19,96238327;13408,02676
13,60001564;969,2592529;21,71151733;13198,2873
14,50001907;970,3703613;23,59519577;13154,85869
14,60001945;970,3703613;24,13339233;12610,52314
15,40002251;968,3333496;26,42071915;12515,27695
15,80002403;967,8703857;27,54195786;12966,34014
15,50002289;968,055542;27,85590363;12550,31543
14,9000206;966,7592773;28,39409637;12841,4833
15,60002327;964,3518677;26,8692131;12701,82148
15,20002174;963,4259033;24,94068146;12592,26338
15,00002098;963,6111084;24,35763931;12906,62617
13,60001564;963,1481689;20,45573044;12585,35469
13,40001488;963,1481689;19,87268448;13468,72773
13,00001335;962,9630127;18,4823494;12731,43193
12,2000103;962,5926025;17,00231552;12638,15947
11,30000687;961,7592529;14,7598381;13371,01396
11,20000648;961,7592529;14,58044052;13321,16992
10,70000458;961,5740967;13,81799698;13458,85771
10,20000267;960,6481323;12,60705948;13135,61221
10,10000229;960,1851196;13,27980423;13341,89707
9,299999237;959,722229;11,35127258;13049,24873
10,10000229;960,6481323;12,78645706;12617,43213
12,70001221;964,0740967;19,15509415;13035,43057
13,50001526;970,3703613;22,29455948;12554,75723
14,00001717;968,9814453;25,47887802;12660,86074
14,50001907;968,055542;26,06192017;12578,93896
14,50001907;966,666687;26,42071915;12554,26357
15,30002213;965,3703735;25,34432983;13028,52188
14,50001907;965,277771;23,59519577;13180,02773
14,9000206;965,277771;22,78790665;12533,53652
14,60001945;965,277771;21,80121613;12707,74346
13,50001526;966,2036743;18,88599396;12647,04248
13,10001373;966,2036743;17,94415665;12545,87422
13,20001411;966,2036743;17,80960464;12509,35469
13,20001411;966,2036743;17,58535767;12536,49766
12,70001221;965,277771;16,23987198;13028,52188
12,50001144;963,888916;15,47743225;13029,50869
11,80000877;963,888916;13,90769577;12685,53584
12,30001068;963,5185059;15,11863327;12911,06748
11,50000763;962,9630127;13,36950302;12882,9377
11,70000839;963,7963135;13,90769577;12621,38027
13,60001564;965,277771;17,54050827;13177,56016
13,90001678;966,2036743;18,93084335;12553,27676
14,30001831;967,6852295;18,84114456;12758,57461
14,80002022;970,9259155;20,14178085;12656,9126
14,9000206;971,3889038;21,30786896;12803,4835
14,80002022;968,8888672;21,30786896;12710,70459
15,60002327;968,5185547;22,16001129;12914,02881
16,10002518;967,5926514;20,32118225;13280,20898
14,50001907;967,6852295;23,10185242;13340,90996
14,50001907;967,5926514;22,83275604;13056,15771
13,8000164;966,5740845;22,0254631;12575,48438
14,40001869;966,944458;21,93576431;12743,27627
14,50001907;966,5740845;20,94907379;12970,78193
14,70001984;966,2036743;20,09693146;12778,31504
14,40001869;966,2036743;18,70659637;12565,12061
13,50001526;966,2036743;16,91261673;13561,50654
13,40001488;966,2036743;16,10532379;12610,52334
13,60001564;966,2036743;16,23987198;13154,85879
13,70001602;965,277771;16,77806854;12834,08086
13,60001564;965,277771;16,64352036;13399,14346
13,60001564;965,277771;17,00231552;12924,39209
13,20001411;965,277771;16,55381775;12665,7957
12,90001297;965,277771;15,88107681;12775,35371
13,20001411;966,2036743;17,63020706;12701,82158
14,30001831;967,8703857;20,00723267;13416,90977
14,20001793;968,7962891;21,03877258;13106,00186
14,50001907;971,5740601;21,53211975;12885,40508
14,60001945;969,9073486;22,96730423;12503,92627
15,80002403;971,7592163;21,44241714;12513,79648
14,50001907;967,5926514;21,80121613;12513,79629
13,90001678;965,7407593;19,15509415;12670,73076
13,8000164;966,4814819;18,21325302;12752,15898
13,70001602;966,3888794;17,76475525;12574,0041
14,80002022;966,2036743;18,66174698;13415,92266
15,00002098;964,3518677;18,57204819;12673,6918
14,70001984;965,3703735;18,03385544;13372,49414
14,20001793;965,277771;16,50896835;12814,34053
13,50001526;965,3703735;15,88107681;13352,26064
12,70001221;965,1851929;14,44589233;12779,79512
12,10000992;964,2592773;13,90769577;13736,70068
11,80000877;963,888916;13,36950302;13753,48008
11,70000839;962,9630127;13,27980423;13741,14219
11,90000916;962,5;13,32465363;13720,41523
12,30001068;962,8704102;13,81799698;13704,12959
12,50001144;962,9630127;14,08709335;13653,79189
11,70000839;962,0369873;13,05555725;13740,15537
11,80000877;961,7592529;13,19010544;13728,80469
13,20001411;963,0555908;15,29803085;13051,22295
13,60001564;963,888916;16,82291794;12949,56113
14,10001755;964,6296753;17,63020706;13351,27363
14,70001984;967,5926514;19,78298569;12512,80967
