Temperatura ambiente TG ValueY;Temperatura Bulbo Humedo ValueY;Presion Atmosferica ValueY;Potencia TG ValueY
13,81799698;12,50001144;963,0555664;13806,28486
13,19010544;12,2000103;960,7407227;13813,6877
13,05555725;12,30001068;962,3147949;13808,25908
13,14525604;12,30001068;962,6851563;13831,45381
13,68344879;12,60001183;963,4259277;13816,64854
13,77314758;12,60001183;963,6110962;13821,09014
14,35619354;12,90001297;962,8703613;13809,24619
14,40104294;12,80001259;962,6851685;13805,29814
14,44589233;12,90001297;963,2407104;13785,06445
14,13194275;12,70001221;960,1851807;13812,20674
14,71498871;12,80001259;960,277771;13799,37617
14,93923569;12,70001221;960,1851563;13736,20732
13,59375;12,40001106;959,6296021;13773,22021
14,53559113;12,70001221;959,1666748;13737,68789
13,99739456;12,50001144;959,5370361;13723,86992
13,5489006;12,40001106;959,1666504;13751,50586
13,59375;12,2000103;958,5185059;13758,90869
14,26649475;12,50001144;957,9629395;13762,85635
14,31134415;12,30001068;956,388916;13758,41484
14,35619354;12,50001144;956,2036865;13768,77881
14,40104294;12,2000103;954,6296387;13781,60996
13,99739456;12,2000103;955,9259155;13755,94795
14,53559113;12,60001183;953,7037354;13698,20762
14,8046875;12,50001144;951,7592773;13718,44131
14,58044052;12,60001183;951,944458;13686,85664
11,44097137;10,80000496;955,1852051;13825,53154
10,99247742;10,50000381;954,3518799;13860,57051
10,67853165;10,00000191;955,7407593;13864,51875
10,94762802;10,10000229;955;13871,92129
11,71006775;10,50000381;954,4444336;13909,9209
11,30642319;10,00000191;954,4444458;13956,31055
10,99247742;9,600000381;954,7222412;13936,56992
11,171875;9,700000763;956,3889038;13914,85586
10,72338104;9,399999619;957,1296021;13934,10244
10,63368225;9,700000763;957,4999756;13972,59609
10,76823044;9,700000763;957,9629517;13949,40146
11,171875;9,399999619;957,7777832;13962,23252
11,97916794;9,600000381;957,5925537;13920,28408
12,3828125;10,00000191;958,5185059;13899,55752
12,60705948;9,099998474;958,7036987;13952,85566
12,60705948;9,099998474;958,1481201;13939,0377
13,10040665;9,800001144;961,5740601;13906,4666
12,02401733;9,399999619;957,5925537;13912,38818
12,56221008;9,399999619;959,7222168;13909,9207
12,74160767;9,299999237;959,1666504;13931,63525
12,60705948;9,099998474;959,2592407;13966,18037
12,4276619;9,299999237;960,1851807;13962,72607
12,3828125;9,199998856;961,111084;14015,53076
12,29311371;9,299999237;959,7221924;14011,08906
10,23003387;8,899997711;960,3703491;14053,03721
10,72338104;9,299999237;960,8333374;14058,95947
10,45428085;9,299999237;959,1666626;14064,88135
10,67853165;8,999998093;961,111084;14050,57002
